2.93,5.45,,Parker Abrams. I'm at Kresky Hall.
5.53,7.81,,"Buffy Summers, Stevenson."
7.89,11.04,,Previously on "Buffy the Vampire Slayer":
11.13,13.81,,What are you doing?
11.13,13.81,,Making a choice.
17.65,20.09,Buffy ,"Parker, did I do something wrong?"
20.09,21.57,Parker ,Didn't you have fun?
21.65,22.84,Buffy ,Is that all it was?
22.84,24.85,Parker ,What else was it supposed to be?
24.93,29.69,Buffy ,He's manipulative and shallow.
24.93,29.69,Buffy ,And why doesn't he want me?
29.77,33.45,Willow ,I think you're missing something
29.77,33.45,Willow ,about the whole poophead principle.
33.69,38.02,Xander ,Anya. Hi again.
37.97,40.89,Xander(voice ,"So, college not so scary after all?"
41.37,45.73,Buffy ,"It's turning out to be a lot like high school,"
41.37,45.73,Buffy ,which I can handle.
52.05,58.69,Xander ,"I don't know. I was going for ferociousscary,"
52.05,58.69,Xander ,but it's coming out more dryly sardonic.
58.77,61.65,Willow ,It does appear to be mocking you
58.77,61.65,Willow ,with its eyeholes.
61.73,65.12,Oz ,Yet its nosehole seems sad
61.73,65.12,Oz ,and full of selfIoathing.
65.85,67.84,Buffy ,"What do you think, Buff?"
68.77,72.08,Buffy ,I was just thinking about
68.77,72.08,Buffy ,the life of a pumpkin.
72.17,78.02,Buffy ,"Grow up in the sun,"
72.17,78.02,Buffy ,"happily entwined with others,"
76.09,81.93,Buffy ,"and then someone comes along,"
76.09,81.93,Buffy ,cuts you open and rips your guts out.
83.49,86.17,Buffy ,"OK. And on that happy note,"
86.73,91.09,Xander ,got a treat for tomorrow night's
86.73,91.09,Xander ,second annual Halloween screening.
91.17,96.96,Xander ,"People, prepare to have your spines tingled"
91.17,96.96,Xander ,and your gooses bumped by the terrifying...
97.05,98.41,Xander ,Fantasia.
98.65,99.85,Xander ,Fantasia?
100.29,102.57,Oz ,"Maybe it's the horrific things we've seen,"
102.65,106.25,Oz ,but hippos wearing tutus don't
102.65,106.25,Oz ,unnerve me the way they used to.
106.33,107.65,Xander ,Phantasm.
107.73,112.02,Xander ,It was supposed to be Phantasm.
110.09,111.89,Xander ,Stupid video store.
112.05,115.13,Willow ,I thought we were doing the AlphaDelt thing.
115.21,116.12,Xander ,What thing?
116.12,117.44,Buffy ,The scary house?
117.93,120.45,Buffy ,Sounds kinda lame.
117.93,120.45,Buffy ,But it borders on fun.
120.53,124.73,Oz ,You go through the scaryhouse maze
120.53,124.73,Oz ,"to get to the party, which is worth getting to."
124.81,127.25,Oz ,Those guys go all out.
127.25,130.02,Willow ,As witnessed last Friday.
128.09,129.69,Xander ,There's a party?
129.77,131.6,Willow ,We didn't tell you?
132.69,133.72,Willow ,"No, that's cool."
133.72,136.24,Xander ,You guys got your little college thing.
136.41,137.77,Xander ,I'm fine.
137.85,141.4,Xander ,"I mean, I got better things to do"
137.85,141.4,Xander ,than tag along to some fraternity.
141.49,142.95,Willow ,You can come.
142.95,143.29,Xander ,OK.
143.37,146.21,Xander ,Only because I lied about
143.37,146.21,Xander ,having better things to do.
146.29,148.68,Oz ,Blast will be had by all.
149.17,150.73,Buffy ,I'm gonna get going.
150.73,152.69,Xander ,Now? The night's still...
153.33,155.56,Xander ,"OK, it's a little mature, but still..."
155.73,158.73,Buffy ,I'm sleepy. You guys have fun.
158.81,160.73,Willow ,You want me to come with?
160.73,161.73,Buffy ,"No, I'm fine."
166.41,168.4,Xander ,Sad Buffy.
168.93,171.49,Willow ,She didn't even touch her pumpkin.
171.57,173.4,Willow ,It's a freak with no face.
173.49,176.13,Oz ,She's suffering postParker depression.
176.21,178.12,Xander ,Bailing on the Buff.
178.21,181.09,Xander ,Does anyone else wanna smack that guy?
185.02,187.07,Xander ,Advertise your product or brand here
187.07,189.07,Kid ,contact www.OpenSubtitles.org today
201.37,203.36,Kid ,"Jeez, that hurt."
203.73,206.41,Kid ,"What the hell's wrong with you, lady?"
209.37,211.36,Buffy ,That's what I'd like to know.
267.05,270.84,Willow ,I've got the basics down:
267.05,270.84,Willow ,"levitation, charms, glamours."
270.93,274.13,Willow ,"I just feel like I've plateaued, Wiccawise."
